Date,State/Territory,Barrels (Thousands)
6/1/2010,Federal Offshore Pacific Crude Oil,61
6/1/2010,Florida,5
6/1/2010,Idaho,0
6/1/2010,Illinois,26
6/1/2010,Indiana,5
6/1/2010,Kansas,115
6/1/2010,Kentucky,7
6/1/2010,Louisiana,186
6/1/2010,Michigan,18
6/1/2010,Mississippi,65
6/1/2010,Missouri,0
6/1/2010,Montana,68
6/1/2010,Nebraska,6
6/1/2010,Nevada,1
6/1/2010,New Mexico,176
6/1/2010,New York,1
6/1/2010,North Dakota,313
6/1/2010,Ohio,13
6/1/2010,Oklahoma,191
6/1/2010,Pennsylvania,9
6/1/2010,South Dakota,4
6/1/2010,Tennessee,1
6/1/2010,Texas,1139
6/1/2010,U.S. Crude Oil ,5381
6/1/2010,Utah,68
6/1/2010,Virginia,0
6/1/2010,West Virginia,6
6/1/2010,Wyoming,146
7/1/2010,Alabama,20
7/1/2010,Alaska,545
7/1/2010,Arizona,0
7/1/2010,Arkansas,15
7/1/2010,California,550
7/1/2010,Colorado,83
7/1/2010,Federal Offshore Gulf of Mexico Crude Oil,1434
7/1/2010,Federal Offshore Pacific Crude Oil,59
7/1/2010,Florida,5
7/1/2010,Idaho,0
7/1/2010,Illinois,25
7/1/2010,Indiana,5
7/1/2010,Kansas,111
7/1/2010,Kentucky,7
7/1/2010,Louisiana,187
7/1/2010,Michigan,19
7/1/2010,Mississippi,65
7/1/2010,Missouri,0
7/1/2010,Montana,69
7/1/2010,Nebraska,6
7/1/2010,Nevada,1
7/1/2010,New Mexico,179
7/1/2010,New York,1
7/1/2010,North Dakota,320
7/1/2010,Ohio,13
7/1/2010,Oklahoma,192
7/1/2010,Pennsylvania,9
7/1/2010,South Dakota,4
7/1/2010,Tennessee,1
7/1/2010,Texas,1152
7/1/2010,U.S. Crude Oil ,5299
7/1/2010,Utah,69
7/1/2010,Virginia,0
7/1/2010,West Virginia,5
7/1/2010,Wyoming,146
8/1/2010,Alabama,20
8/1/2010,Alaska,538
8/1/2010,Arizona,0
8/1/2010,Arkansas,15
8/1/2010,California,552
8/1/2010,Colorado,93
8/1/2010,Federal Offshore Gulf of Mexico Crude Oil,1555
8/1/2010,Federal Offshore Pacific Crude Oil,56
8/1/2010,Florida,5
8/1/2010,Idaho,0
8/1/2010,Illinois,24
8/1/2010,Indiana,5
8/1/2010,Kansas,112
8/1/2010,Kentucky,4
8/1/2010,Louisiana,187
8/1/2010,Michigan,19
8/1/2010,Mississippi,66
8/1/2010,Missouri,0
8/1/2010,Montana,69
8/1/2010,Nebraska,7
8/1/2010,Nevada,1
8/1/2010,New Mexico,180
8/1/2010,New York,1
8/1/2010,North Dakota,328
8/1/2010,Ohio,13
8/1/2010,Oklahoma,186
8/1/2010,Pennsylvania,9
8/1/2010,South Dakota,4
8/1/2010,Tennessee,1
8/1/2010,Texas,1168
8/1/2010,U.S. Crude Oil ,5442
8/1/2010,Utah,71
8/1/2010,Virginia,0
8/1/2010,West Virginia,5
8/1/2010,Wyoming,146
9/1/2010,Alabama,21
9/1/2010,Alaska,614
9/1/2010,Arizona,0
9/1/2010,Arkansas,16
9/1/2010,California,553
9/1/2010,Colorado,96
9/1/2010,Federal Offshore Gulf of Mexico Crude Oil,1587
9/1/2010,Federal Offshore Pacific Crude Oil,58
9/1/2010,Florida,5
9/1/2010,Idaho,0
9/1/2010,Illinois,25
9/1/2010,Indiana,5
9/1/2010,Kansas,113
9/1/2010,Kentucky,9
9/1/2010,Louisiana,190
9/1/2010,Michigan,20
9/1/2010,Mississippi,66
9/1/2010,Missouri,0
9/1/2010,Montana,71
9/1/2010,Nebraska,7
9/1/2010,Nevada,1
9/1/2010,New Mexico,178
9/1/2010,New York,1
9/1/2010,North Dakota,342
9/1/2010,Ohio,13
9/1/2010,Oklahoma,189
9/1/2010,Pennsylvania,9
9/1/2010,South Dakota,5
9/1/2010,Tennessee,1
9/1/2010,Texas,1191
9/1/2010,U.S. Crude Oil ,5611
9/1/2010,Utah,71
9/1/2010,Virginia,0
9/1/2010,West Virginia,5
9/1/2010,Wyoming,148
10/1/2010,Alabama,20
10/1/2010,Alaska,618
10/1/2010,Arizona,0
10/1/2010,Arkansas,16
10/1/2010,California,539
10/1/2010,Colorado,95
10/1/2010,Federal Offshore Gulf of Mexico Crude Oil,1565
10/1/2010,Federal Offshore Pacific Crude Oil,57
10/1/2010,Florida,5
10/1/2010,Idaho,0
10/1/2010,Illinois,25
10/1/2010,Indiana,5
10/1/2010,Kansas,110
10/1/2010,Kentucky,7
10/1/2010,Louisiana,187
10/1/2010,Michigan,19
10/1/2010,Mississippi,66
10/1/2010,Missouri,0
10/1/2010,Montana,71
10/1/2010,Nebraska,7
10/1/2010,Nevada,1
10/1/2010,New Mexico,186
10/1/2010,New York,1
10/1/2010,North Dakota,342
10/1/2010,Ohio,13
10/1/2010,Oklahoma,189
10/1/2010,Pennsylvania,9
10/1/2010,South Dakota,5
10/1/2010,Tennessee,1
10/1/2010,Texas,1215
10/1/2010,U.S. Crude Oil ,5621
10/1/2010,Utah,71
10/1/2010,Virginia,0
10/1/2010,West Virginia,5
10/1/2010,Wyoming,170
11/1/2010,Alabama,21
11/1/2010,Alaska,606
11/1/2010,Arizona,0
11/1/2010,Arkansas,16
11/1/2010,California,547
11/1/2010,Colorado,97
11/1/2010,Federal Offshore Gulf of Mexico Crude Oil,1482
11/1/2010,Federal Offshore Pacific Crude Oil,56
11/1/2010,Florida,5
11/1/2010,Idaho,0
11/1/2010,Illinois,24
11/1/2010,Indiana,5
11/1/2010,Kansas,111
11/1/2010,Kentucky,2
11/1/2010,Louisiana,185
11/1/2010,Michigan,19
11/1/2010,Mississippi,67
11/1/2010,Missouri,0
11/1/2010,Montana,70
11/1/2010,Nebraska,7
11/1/2010,Nevada,1
11/1/2010,New Mexico,190
11/1/2010,New York,1
11/1/2010,North Dakota,355
11/1/2010,Ohio,13
11/1/2010,Oklahoma,204
11/1/2010,Pennsylvania,9
11/1/2010,South Dakota,5
11/1/2010,Tennessee,1
11/1/2010,Texas,1243
11/1/2010,U.S. Crude Oil ,5567
11/1/2010,Utah,71
11/1/2010,Virginia,0
11/1/2010,West Virginia,5
11/1/2010,Wyoming,148
12/1/2010,Alabama,21
12/1/2010,Alaska,612
12/1/2010,Arizona,0
12/1/2010,Arkansas,16
12/1/2010,California,536
12/1/2010,Colorado,97
12/1/2010,Federal Offshore Gulf of Mexico Crude Oil,1491
12/1/2010,Federal Offshore Pacific Crude Oil,58
12/1/2010,Florida,6
12/1/2010,Idaho,0
12/1/2010,Illinois,24
12/1/2010,Indiana,5
12/1/2010,Kansas,115
12/1/2010,Kentucky,10
12/1/2010,Louisiana,183
12/1/2010,Michigan,20
12/1/2010,Mississippi,68
12/1/2010,Missouri,0
12/1/2010,Montana,68
12/1/2010,Nebraska,7
12/1/2010,Nevada,1
12/1/2010,New Mexico,188
12/1/2010,New York,1
12/1/2010,North Dakota,343
12/1/2010,Ohio,13
12/1/2010,Oklahoma,207
12/1/2010,Pennsylvania,9
12/1/2010,South Dakota,4
12/1/2010,Tennessee,1
12/1/2010,Texas,1278
12/1/2010,U.S. Crude Oil ,5602
12/1/2010,Utah,70
12/1/2010,Virginia,0
12/1/2010,West Virginia,5
12/1/2010,Wyoming,145
1/1/2011,Alabama,21
1/1/2011,Alaska,464
1/1/2011,Arizona,0
1/1/2011,Arkansas,16
1/1/2011,California,535
1/1/2011,Colorado,93
1/1/2011,Federal Offshore Gulf of Mexico Crude Oil,1562
1/1/2011,Federal Offshore Pacific Crude Oil,53
1/1/2011,Florida,6
1/1/2011,Idaho,0
1/1/2011,Illinois,23
1/1/2011,Indiana,5
1/1/2011,Kansas,108
1/1/2011,Kentucky,5
1/1/2011,Louisiana,183
1/1/2011,Michigan,20
1/1/2011,Mississippi,68
1/1/2011,Missouri,0
1/1/2011,Montana,66
1/1/2011,Nebraska,7
1/1/2011,Nevada,1
1/1/2011,New Mexico,191
1/1/2011,New York,1
1/1/2011,North Dakota,341
1/1/2011,Ohio,13
1/1/2011,Oklahoma,201
1/1/2011,Pennsylvania,10
1/1/2011,South Dakota,4
1/1/2011,Tennessee,1
1/1/2011,Texas,1281
1/1/2011,U.S. Crude Oil ,5492
1/1/2011,Utah,67
1/1/2011,Virginia,0
1/1/2011,West Virginia,5
1/1/2011,Wyoming,142
2/1/2011,Alabama,21
2/1/2011,Alaska,611
2/1/2011,Arizona,0
2/1/2011,Arkansas,16
2/1/2011,California,540
2/1/2011,Colorado,98
2/1/2011,Federal Offshore Gulf of Mexico Crude Oil,1411
2/1/2011,Federal Offshore Pacific Crude Oil,53
2/1/2011,Florida,5
2/1/2011,Idaho,0
2/1/2011,Illinois,22
2/1/2011,Indiana,5
2/1/2011,Kansas,109
2/1/2011,Kentucky,3
2/1/2011,Louisiana,184
2/1/2011,Michigan,20
2/1/2011,Mississippi,67
2/1/2011,Missouri,0
2/1/2011,Montana,67
2/1/2011,Nebraska,7
2/1/2011,Nevada,1
2/1/2011,New Mexico,164
2/1/2011,New York,1
2/1/2011,North Dakota,347
2/1/2011,Ohio,13
2/1/2011,Oklahoma,175
2/1/2011,Pennsylvania,10
2/1/2011,South Dakota,4
2/1/2011,Tennessee,1
2/1/2011,Texas,1227
2/1/2011,U.S. Crude Oil ,5399
2/1/2011,Utah,68
2/1/2011,Virginia,0
2/1/2011,West Virginia,5
2/1/2011,Wyoming,143
3/1/2011,Alabama,21
3/1/2011,Alaska,611
3/1/2011,Arizona,0
3/1/2011,Arkansas,16
3/1/2011,California,538
3/1/2011,Colorado,104
3/1/2011,Federal Offshore Gulf of Mexico Crude Oil,1389
3/1/2011,Federal Offshore Pacific Crude Oil,55
3/1/2011,Florida,6
3/1/2011,Idaho,0
3/1/2011,Illinois,26
3/1/2011,Indiana,5
3/1/2011,Kansas,118
3/1/2011,Kentucky,7
3/1/2011,Louisiana,193
3/1/2011,Michigan,19
3/1/2011,Mississippi,66
3/1/2011,Missouri,0
3/1/2011,Montana,66
3/1/2011,Nebraska,7
3/1/2011,Nevada,1
3/1/2011,New Mexico,194
3/1/2011,New York,1
3/1/2011,North Dakota,359
3/1/2011,Ohio,13
3/1/2011,Oklahoma,220
3/1/2011,Pennsylvania,10
3/1/2011,South Dakota,4
3/1/2011,Tennessee,1
3/1/2011,Texas,1337
3/1/2011,U.S. Crude Oil ,5612
3/1/2011,Utah,71
3/1/2011,Virginia,0
3/1/2011,West Virginia,6
3/1/2011,Wyoming,147
4/1/2011,Alabama,22
4/1/2011,Alaska,606
4/1/2011,Arizona,0
4/1/2011,Arkansas,16
4/1/2011,California,540
4/1/2011,Colorado,107
4/1/2011,Federal Offshore Gulf of Mexico Crude Oil,1346
4/1/2011,Federal Offshore Pacific Crude Oil,57
4/1/2011,Florida,6
4/1/2011,Idaho,0
4/1/2011,Illinois,24
4/1/2011,Indiana,5
4/1/2011,Kansas,114
4/1/2011,Kentucky,6
4/1/2011,Louisiana,187
4/1/2011,Michigan,19
4/1/2011,Mississippi,66
4/1/2011,Missouri,0
4/1/2011,Montana,65
4/1/2011,Nebraska,7
4/1/2011,Nevada,1
4/1/2011,New Mexico,193
4/1/2011,New York,1
4/1/2011,North Dakota,350
4/1/2011,Ohio,13
4/1/2011,Oklahoma,212
4/1/2011,Pennsylvania,10
4/1/2011,South Dakota,4
4/1/2011,Tennessee,1
4/1/2011,Texas,1349
4/1/2011,U.S. Crude Oil ,5552
4/1/2011,Utah,72
4/1/2011,Virginia,0
4/1/2011,West Virginia,6
4/1/2011,Wyoming,149
5/1/2011,Alabama,23
5/1/2011,Alaska,582
5/1/2011,Arizona,0
5/1/2011,Arkansas,16
5/1/2011,California,543
5/1/2011,Colorado,106
5/1/2011,Federal Offshore Gulf of Mexico Crude Oil,1373
5/1/2011,Federal Offshore Pacific Crude Oil,55
5/1/2011,Florida,5
5/1/2011,Idaho,0
5/1/2011,Illinois,23
5/1/2011,Indiana,5
5/1/2011,Kansas,116
5/1/2011,Kentucky,6
5/1/2011,Louisiana,186
5/1/2011,Michigan,19
5/1/2011,Mississippi,66
5/1/2011,Missouri,0
5/1/2011,Montana,65
5/1/2011,Nebraska,7
5/1/2011,Nevada,1
5/1/2011,New Mexico,193
5/1/2011,New York,1
5/1/2011,North Dakota,362
5/1/2011,Ohio,13
5/1/2011,Oklahoma,213
5/1/2011,Pennsylvania,10
5/1/2011,South Dakota,4
5/1/2011,Tennessee,1
5/1/2011,Texas,1393
5/1/2011,U.S. Crude Oil ,5613
5/1/2011,Utah,71
5/1/2011,Virginia,0
5/1/2011,West Virginia,6
5/1/2011,Wyoming,148
6/1/2011,Alabama,23
6/1/2011,Alaska,553
6/1/2011,Arizona,0
6/1/2011,Arkansas,16
6/1/2011,California,541
6/1/2011,Colorado,107
6/1/2011,Federal Offshore Gulf of Mexico Crude Oil,1325
6/1/2011,Federal Offshore Pacific Crude Oil,57
6/1/2011,Florida,5
6/1/2011,Idaho,0
6/1/2011,Illinois,25
6/1/2011,Indiana,6
6/1/2011,Kansas,116
6/1/2011,Kentucky,7
6/1/2011,Louisiana,185
6/1/2011,Michigan,19
6/1/2011,Mississippi,66
6/1/2011,Missouri,0
6/1/2011,Montana,65
6/1/2011,Nebraska,7
6/1/2011,Nevada,1
6/1/2011,New Mexico,193
6/1/2011,New York,1
6/1/2011,North Dakota,384
6/1/2011,Ohio,13
6/1/2011,Oklahoma,217
6/1/2011,Pennsylvania,10
6/1/2011,South Dakota,4
6/1/2011,Tennessee,1
6/1/2011,Texas,1400
6/1/2011,U.S. Crude Oil ,5578
6/1/2011,Utah,72
6/1/2011,Virginia,0
6/1/2011,West Virginia,6
6/1/2011,Wyoming,152
7/1/2011,Alabama,23
7/1/2011,Alaska,453
7/1/2011,Arizona,0
7/1/2011,Arkansas,16
7/1/2011,California,535
7/1/2011,Colorado,106
7/1/2011,Federal Offshore Gulf of Mexico Crude Oil,1211
7/1/2011,Federal Offshore Pacific Crude Oil,56
7/1/2011,Florida,5
7/1/2011,Idaho,0
7/1/2011,Illinois,25
7/1/2011,Indiana,5
7/1/2011,Kansas,111
7/1/2011,Kentucky,9
7/1/2011,Louisiana,184
7/1/2011,Michigan,18
7/1/2011,Mississippi,68
7/1/2011,Missouri,0
7/1/2011,Montana,65
7/1/2011,Nebraska,7
7/1/2011,Nevada,1
7/1/2011,New Mexico,197
7/1/2011,New York,1
7/1/2011,North Dakota,424
7/1/2011,Ohio,13
7/1/2011,Oklahoma,216
7/1/2011,Pennsylvania,9
7/1/2011,South Dakota,4
7/1/2011,Tennessee,1
7/1/2011,Texas,1436
7/1/2011,U.S. Crude Oil ,5430
7/1/2011,Utah,72
7/1/2011,Virginia,0
7/1/2011,West Virginia,6
7/1/2011,Wyoming,151
8/1/2011,Alabama,24
8/1/2011,Alaska,526
8/1/2011,Arizona,0
8/1/2011,Arkansas,16
8/1/2011,California,535
8/1/2011,Colorado,111
8/1/2011,Federal Offshore Gulf of Mexico Crude Oil,1272
8/1/2011,Federal Offshore Pacific Crude Oil,54
8/1/2011,Florida,5
8/1/2011,Idaho,0
8/1/2011,Illinois,26
8/1/2011,Indiana,6
8/1/2011,Kansas,118
8/1/2011,Kentucky,6
8/1/2011,Louisiana,187
8/1/2011,Michigan,19
8/1/2011,Mississippi,66
8/1/2011,Missouri,0
8/1/2011,Montana,66
8/1/2011,Nebraska,7
8/1/2011,Nevada,1
8/1/2011,New Mexico,200
8/1/2011,New York,1
8/1/2011,North Dakota,444
8/1/2011,Ohio,13
8/1/2011,Oklahoma,213
8/1/2011,Pennsylvania,9
8/1/2011,South Dakota,5
8/1/2011,Tennessee,1
8/1/2011,Texas,1490
8/1/2011,U.S. Crude Oil ,5651
8/1/2011,Utah,72
8/1/2011,Virginia,0
8/1/2011,West Virginia,8
8/1/2011,Wyoming,151
9/1/2011,Alabama,23
9/1/2011,Alaska,585
9/1/2011,Arizona,0
9/1/2011,Arkansas,17
9/1/2011,California,532
9/1/2011,Colorado,113
9/1/2011,Federal Offshore Gulf of Mexico Crude Oil,1090
9/1/2011,Federal Offshore Pacific Crude Oil,56
9/1/2011,Florida,6
9/1/2011,Idaho,0
9/1/2011,Illinois,26
9/1/2011,Indiana,6
9/1/2011,Kansas,114
9/1/2011,Kentucky,7
9/1/2011,Louisiana,185
9/1/2011,Michigan,19
9/1/2011,Mississippi,66
9/1/2011,Missouri,0
9/1/2011,Montana,65
9/1/2011,Nebraska,7
9/1/2011,Nevada,1
9/1/2011,New Mexico,201
9/1/2011,New York,1
9/1/2011,North Dakota,462
9/1/2011,Ohio,13
9/1/2011,Oklahoma,204
9/1/2011,Pennsylvania,9
9/1/2011,South Dakota,5
9/1/2011,Tennessee,1
9/1/2011,Texas,1538
9/1/2011,U.S. Crude Oil ,5583
9/1/2011,Utah,74
9/1/2011,Virginia,0
9/1/2011,West Virginia,6
9/1/2011,Wyoming,150
10/1/2011,Alabama,24
10/1/2011,Alaska,566
10/1/2011,Arizona,0
10/1/2011,Arkansas,16
10/1/2011,California,534
10/1/2011,Colorado,115
10/1/2011,Federal Offshore Gulf of Mexico Crude Oil,1291
10/1/2011,Federal Offshore Pacific Crude Oil,55
10/1/2011,Florida,6
10/1/2011,Idaho,0
10/1/2011,Illinois,27
10/1/2011,Indiana,6
10/1/2011,Kansas,110
10/1/2011,Kentucky,6
10/1/2011,Louisiana,197
10/1/2011,Michigan,20
10/1/2011,Mississippi,66
10/1/2011,Missouri,0
10/1/2011,Montana,68
10/1/2011,Nebraska,7
10/1/2011,Nevada,1
10/1/2011,New Mexico,201
10/1/2011,New York,1
10/1/2011,North Dakota,489
10/1/2011,Ohio,13
10/1/2011,Oklahoma,224
10/1/2011,Pennsylvania,9
10/1/2011,South Dakota,5
10/1/2011,Tennessee,1
10/1/2011,Texas,1595
10/1/2011,U.S. Crude Oil ,5886
10/1/2011,Utah,75
10/1/2011,Virginia,0
10/1/2011,West Virginia,6
10/1/2011,Wyoming,152
11/1/2011,Alabama,25
11/1/2011,Alaska,593
11/1/2011,Arizona,0
11/1/2011,Arkansas,17
11/1/2011,California,538
11/1/2011,Colorado,118
11/1/2011,Federal Offshore Gulf of Mexico Crude Oil,1278
11/1/2011,Federal Offshore Pacific Crude Oil,50
11/1/2011,Florida,6
11/1/2011,Idaho,0
11/1/2011,Illinois,27
11/1/2011,Indiana,6
11/1/2011,Kansas,121
11/1/2011,Kentucky,3
11/1/2011,Louisiana,198
11/1/2011,Michigan,20
11/1/2011,Mississippi,66
11/1/2011,Missouri,0
11/1/2011,Montana,69
11/1/2011,Nebraska,7
11/1/2011,Nevada,1
11/1/2011,New Mexico,212
11/1/2011,New York,1
11/1/2011,North Dakota,508
11/1/2011,Ohio,13
11/1/2011,Oklahoma,215
11/1/2011,Pennsylvania,9
11/1/2011,South Dakota,5
11/1/2011,Tennessee,1
11/1/2011,Texas,1658
11/1/2011,U.S. Crude Oil ,6001
11/1/2011,Utah,76
11/1/2011,Virginia,0
11/1/2011,West Virginia,6
11/1/2011,Wyoming,153
12/1/2011,Alabama,25
12/1/2011,Alaska,592
12/1/2011,Arizona,0
12/1/2011,Arkansas,17
12/1/2011,California,538
12/1/2011,Colorado,117
12/1/2011,Federal Offshore Gulf of Mexico Crude Oil,1257
12/1/2011,Federal Offshore Pacific Crude Oil,51
12/1/2011,Florida,6
12/1/2011,Idaho,0
12/1/2011,Illinois,26
12/1/2011,Indiana,6
12/1/2011,Kansas,110
12/1/2011,Kentucky,10
12/1/2011,Louisiana,199
12/1/2011,Michigan,20
12/1/2011,Mississippi,64
12/1/2011,Missouri,0
12/1/2011,Montana,67
12/1/2011,Nebraska,7
12/1/2011,Nevada,1
12/1/2011,New Mexico,208
12/1/2011,New York,1
12/1/2011,North Dakota,533
12/1/2011,Ohio,13
12/1/2011,Oklahoma,224
12/1/2011,Pennsylvania,9
12/1/2011,South Dakota,5
12/1/2011,Tennessee,1
12/1/2011,Texas,1689
12/1/2011,U.S. Crude Oil ,6032
12/1/2011,Utah,74
12/1/2011,Virginia,0
12/1/2011,West Virginia,6
12/1/2011,Wyoming,157
1/1/2012,Alabama,25
1/1/2012,Alaska,593
1/1/2012,Arizona,0
1/1/2012,Arkansas,17
1/1/2012,California,537
1/1/2012,Colorado,120
1/1/2012,Federal Offshore Gulf of Mexico Crude Oil,1307
1/1/2012,Federal Offshore Pacific Crude Oil,52
1/1/2012,Florida,6
1/1/2012,Idaho,0
1/1/2012,Illinois,26
1/1/2012,Indiana,6
1/1/2012,Kansas,119
1/1/2012,Kentucky,3
1/1/2012,Louisiana,192
1/1/2012,Michigan,20
1/1/2012,Mississippi,64
1/1/2012,Missouri,0
1/1/2012,Montana,66
1/1/2012,Nebraska,9
1/1/2012,Nevada,1
1/1/2012,New Mexico,217
1/1/2012,New York,1
1/1/2012,North Dakota,546
1/1/2012,Ohio,14
1/1/2012,Oklahoma,239
1/1/2012,Pennsylvania,11
1/1/2012,South Dakota,5
1/1/2012,Tennessee,1
1/1/2012,Texas,1724
1/1/2012,U.S. Crude Oil ,6161
1/1/2012,Utah,75
1/1/2012,Virginia,0
1/1/2012,West Virginia,6
1/1/2012,Wyoming,157
2/1/2012,Alabama,25
2/1/2012,Alaska,582
2/1/2012,Arizona,0
2/1/2012,Arkansas,18
2/1/2012,California,538
2/1/2012,Colorado,122
2/1/2012,Federal Offshore Gulf of Mexico Crude Oil,1326
2/1/2012,Federal Offshore Pacific Crude Oil,51
2/1/2012,Florida,6
2/1/2012,Idaho,0
2/1/2012,Illinois,27
2/1/2012,Indiana,6
2/1/2012,Kansas,118
2/1/2012,Kentucky,22
2/1/2012,Louisiana,189
2/1/2012,Michigan,21
2/1/2012,Mississippi,65
2/1/2012,Missouri,0
2/1/2012,Montana,69
2/1/2012,Nebraska,8
2/1/2012,Nevada,1
2/1/2012,New Mexico,217
2/1/2012,New York,1
2/1/2012,North Dakota,556
2/1/2012,Ohio,14
2/1/2012,Oklahoma,236
2/1/2012,Pennsylvania,11
2/1/2012,South Dakota,5
2/1/2012,Tennessee,1
2/1/2012,Texas,1771
2/1/2012,U.S. Crude Oil ,6245
2/1/2012,Utah,76
2/1/2012,Virginia,0
2/1/2012,West Virginia,7
2/1/2012,Wyoming,156
3/1/2012,Alabama,25
3/1/2012,Alaska,567
3/1/2012,Arizona,0
3/1/2012,Arkansas,18
3/1/2012,California,534
3/1/2012,Colorado,127
3/1/2012,Federal Offshore Gulf of Mexico Crude Oil,1375
3/1/2012,Federal Offshore Pacific Crude Oil,26
3/1/2012,Florida,6
3/1/2012,Idaho,0
3/1/2012,Illinois,27
3/1/2012,Indiana,6
3/1/2012,Kansas,118
3/1/2012,Kentucky,12
3/1/2012,Louisiana,192
3/1/2012,Michigan,20
3/1/2012,Mississippi,67
3/1/2012,Missouri,0
3/1/2012,Montana,67
3/1/2012,Nebraska,9
3/1/2012,Nevada,1
3/1/2012,New Mexico,219
3/1/2012,New York,1
3/1/2012,North Dakota,579
3/1/2012,Ohio,14
3/1/2012,Oklahoma,232
3/1/2012,Pennsylvania,11
3/1/2012,South Dakota,5
3/1/2012,Tennessee,1
3/1/2012,Texas,1798
3/1/2012,U.S. Crude Oil ,6301
3/1/2012,Utah,78
3/1/2012,Virginia,0
3/1/2012,West Virginia,7
3/1/2012,Wyoming,159
4/1/2012,Alabama,25
4/1/2012,Alaska,552
4/1/2012,Arizona,0
4/1/2012,Arkansas,18
4/1/2012,California,541
4/1/2012,Colorado,123
4/1/2012,Federal Offshore Gulf of Mexico Crude Oil,1266
4/1/2012,Federal Offshore Pacific Crude Oil,39
4/1/2012,Florida,5
4/1/2012,Idaho,0
4/1/2012,Illinois,27
4/1/2012,Indiana,6
4/1/2012,Kansas,120
4/1/2012,Kentucky,2
4/1/2012,Louisiana,194
4/1/2012,Michigan,21
4/1/2012,Mississippi,67
4/1/2012,Missouri,0
4/1/2012,Montana,71
4/1/2012,Nebraska,8
4/1/2012,Nevada,1
4/1/2012,New Mexico,223
4/1/2012,New York,1
4/1/2012,North Dakota,609
4/1/2012,Ohio,14
4/1/2012,Oklahoma,237
4/1/2012,Pennsylvania,11
4/1/2012,South Dakota,5
4/1/2012,Tennessee,1
4/1/2012,Texas,1868
4/1/2012,U.S. Crude Oil ,6296
4/1/2012,Utah,79
4/1/2012,Virginia,0
4/1/2012,West Virginia,7
4/1/2012,Wyoming,155
5/1/2012,Alabama,24
5/1/2012,Alaska,546
5/1/2012,Arizona,0
5/1/2012,Arkansas,18
5/1/2012,California,539
5/1/2012,Colorado,132
5/1/2012,Federal Offshore Gulf of Mexico Crude Oil,1195
5/1/2012,Federal Offshore Pacific Crude Oil,51
5/1/2012,Florida,6
5/1/2012,Idaho,0
5/1/2012,Illinois,27
5/1/2012,Indiana,6
5/1/2012,Kansas,121
5/1/2012,Kentucky,13
5/1/2012,Louisiana,197
5/1/2012,Michigan,20
5/1/2012,Mississippi,69
5/1/2012,Missouri,1
5/1/2012,Montana,71
5/1/2012,Nebraska,8
5/1/2012,Nevada,1
5/1/2012,New Mexico,224
5/1/2012,New York,1
5/1/2012,North Dakota,641
5/1/2012,Ohio,14
5/1/2012,Oklahoma,256
5/1/2012,Pennsylvania,11
5/1/2012,South Dakota,5
5/1/2012,Tennessee,1
5/1/2012,Texas,1910
5/1/2012,U.S. Crude Oil ,6351
5/1/2012,Utah,80
5/1/2012,Virginia,0
5/1/2012,West Virginia,7
5/1/2012,Wyoming,157
6/1/2012,Alabama,25
6/1/2012,Alaska,493
6/1/2012,Arizona,0
6/1/2012,Arkansas,18
6/1/2012,California,541
6/1/2012,Colorado,126
6/1/2012,Federal Offshore Gulf of Mexico Crude Oil,1114
6/1/2012,Federal Offshore Pacific Crude Oil,52
6/1/2012,Florida,6
6/1/2012,Idaho,0
6/1/2012,Illinois,27
6/1/2012,Indiana,6
6/1/2012,Kansas,119
6/1/2012,Kentucky,8
6/1/2012,Louisiana,193
